,name,link,mark,episode or len,type,genre,comments,year
352,Стальной алхимик,https://shikimori.one/animes/z121-fullmetal-alchemist,8.16,51,TV Сериал,Экшен,1000 комментариев,С 4 октября 2003 г. по 2 октября 2004 г.
353,Пять невест 2,https://shikimori.one/animes/39783-5-toubun-no-hanayome,8.16,12,TV Сериал,Гарем,2139 комментариев,
354,Детектив Конан,https://shikimori.one/animes/z235-detective-conan,8.16,1007 / ?,TV Сериал,Приключения,816 комментариев,
355,"Очень приятно, Бог 2",https://shikimori.one/animes/z25681-kamisama-hajimemashita,8.16,12,TV Сериал,Комедия,371 комментарий,С 6 января 2015 г. по 31 марта 2015 г.
356,Хранитель священного духа,https://shikimori.one/animes/1827-seirei-no-moribito,8.16,26,TV Сериал,Экшен,107 комментариев,С 7 апреля 2007 г. по 29 сентября 2007 г.
357,Руки прочь от кинокружка!,https://shikimori.one/animes/39792-eizouken-ni-wa-te-wo-dasu-na,8.16,12,TV Сериал,Приключения,505 комментариев,
358,Ван-Пис: Эпизод Нами — Слёзы навигатора и узы друзей,https://shikimori.one/animes/15323-one-piece-episode-of-nami-koukaishi-no-namida-to-nakama-no-kizuna,8.15,1 час 46 мин.,Спешл,Экшен,25 комментариев,
359,Драконий жемчуг Зет,https://shikimori.one/animes/813-dragon-ball-z,8.15,291,TV Сериал,Экшен,134 комментария,С 26 апреля 1989 г. по 31 января 1996 г.
360,"Легенда о героях Галактики: Сто миллионов звёзд, сто миллионов светил",https://shikimori.one/animes/3371-ginga-eiyuu-densetsu-gaiden,8.15,24,OVA,Экшен,35 комментариев,
361,Инициал Ди: Стадия четвёртая,https://shikimori.one/animes/z18-initial-d-fourth-stage,8.15,24,TV Сериал,Экшен,23 комментария,С 17 апреля 2004 г. по 18 февраля 2006 г.
362,Кэйон!!,https://shikimori.one/animes/7791-k-on,8.15,26,TV Сериал,Комедия,418 комментариев,С 7 апреля 2010 г. по 29 сентября 2010 г.
363,Дарованный. Фильм,https://shikimori.one/animes/40421-given-movie,8.15,59 мин.,Фильм,Драма,160 комментариев,
364,Этот замечательный мир!,https://shikimori.one/animes/x30831-kono-subarashii-sekai-ni-shukufuku-wo,8.15,10,TV Сериал,Приключения,1300 комментариев,С 14 января 2016 г. по 17 марта 2016 г.
365,Люпен III: Замок Калиостро,https://shikimori.one/animes/1430-lupin-iii-cagliostro-no-shiro,8.15,1 час 39 мин.,Фильм,Экшен,30 комментариев,
366,Мобильный воин Гандам: Единорог,https://shikimori.one/animes/z6336-mobile-suit-gundam-unicorn,8.15,7,OVA,Экшен,48 комментариев,
367,Ангельские ритмы!,https://shikimori.one/animes/y6547-angel-beats,8.14,13,TV Сериал,Экшен,3523 комментария,С 3 апреля 2010 г. по 26 июня 2010 г.
368,Шумиха! Спецвыпуски,https://shikimori.one/animes/3901-baccano-specials,8.14,3,Спешл,Экшен,20 комментариев,
369,Детектив Конан: Потерянный корабль в небе,https://shikimori.one/animes/6467-detective-conan-movie-14-the-lost-ship-in-the-sky,8.14,1 час 42 мин.,Фильм,Экшен,5 комментариев,
370,"Детройт, город металла",https://shikimori.one/animes/x3702-detroit-metal-city,8.14,12,OVA,Музыка,445 комментариев,
371,Чудачества любви не помеха: Положись на меня,https://shikimori.one/animes/35608-chuunibyou-demo-koi-ga-shitai-movie-take-on-me,8.14,1 час 33 мин.,Фильм,Комедия,327 комментариев,
372,Хёка,https://shikimori.one/animes/12189-hyouka,8.14,22,TV Сериал,Детектив,1158 комментариев,С 23 апреля 2012 г. по 17 сентября 2012 г.
373,Власть книжного червя 2,https://shikimori.one/animes/40815-honzuki-no-gekokujou-shisho-ni-naru-tame-ni-wa-shudan-wo-erandeiraremasen-2nd-season,8.14,12,TV Сериал,Повседневность,294 комментария,
374,Призрак в доспехах: Синдром одиночки — Сообщество стабильной государственности,https://shikimori.one/animes/1566-koukaku-kidoutai-stand-alone-complex-solid-state-society,8.14,1 час 48 мин.,Спешл,Военное,30 комментариев,
375,Баскетбол Куроко,https://shikimori.one/animes/11771-kuroko-no-basket,8.14,25,TV Сериал,Комедия,640 комментариев,С 8 апреля 2012 г. по 22 сентября 2012 г.
376,Созданный в Бездне: Начало путешествия,https://shikimori.one/animes/37514-made-in-abyss-movie-1-tabidachi-no-yoake,8.14,1 час 59 мин.,Фильм,Приключения,92 комментария,
377,Невеста чародея: В ожидании путеводной звезды,https://shikimori.one/animes/32902-mahoutsukai-no-yome-hoshi-matsu-hito,8.14,3,OVA,Повседневность,301 комментарий,
378,Мобильный воин Гандам 00,https://shikimori.one/animes/z2581-mobile-suit-gundam-00,8.14,25,TV Сериал,Экшен,143 комментария,С 6 октября 2007 г. по 29 марта 2008 г.
379,Принцесса Тютю,https://shikimori.one/animes/z721-princess-tutu,8.14,38,TV Сериал,Комедия,95 комментариев,С 16 августа 2002 г. по 23 мая 2003 г.
380,Боевой континент 3,https://shikimori.one/animes/42496-douluo-dalu-hao-tian-yang-wei,8.13,13,ONA,Экшен,3 комментария,
381,Муми-тролли,https://shikimori.one/animes/2150-tanoshii-muumin-ikka,8.13,78,TV Сериал,Приключения,30 комментариев,С 12 апреля 1990 г. по 3 октября 1991 г.
382,Хроника крыльев: Весенний гром,https://shikimori.one/animes/4938-tsubasa-shunraiki,8.13,2,OVA,Экшен,43 комментария,
383,Семёрка идолов 2,https://shikimori.one/animes/37962-idolish7-second-beat,8.13,15,TV Сериал,Музыка,183 комментария,
384,Судьба/Великий карнавал,https://shikimori.one/animes/44248-fate-grand-carnival,8.13,2 / 4,OVA,Комедия,119 комментариев,
385,История одержимости,https://shikimori.one/animes/z28025-tsukimonogatari,8.13,4,TV Сериал,Детектив,393 комментария,
386,"Астра, затерянная в космосе",https://shikimori.one/animes/39198-kanata-no-astra,8.13,12,TV Сериал,Фантастика,699 комментариев,С 3 июля 2019 г. по 18 сентября 2019 г.
